competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,WinRateCateg,SugarLevel,Price Comparison
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,High Win Rate,High Sugar Level,Expensive
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,High Win Rate,Medium Sugar Level,Average Price
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,Low Win Rate,Low Sugar Level,Cheaper
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,Medium Win Rate,Low Sugar Level,Average Price
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,Medium Win Rate,High Sugar Level,Average Price
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,Medium Win Rate,Medium Sugar Level,Expensive
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,Medium Win Rate,Medium Sugar Level,Expensive
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,Low Win Rate,Low Sugar Level,Average Price
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,Medium Win Rate,High Sugar Level,Cheaper
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,Medium Win Rate,Medium Sugar Level,Cheaper
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,Medium Win Rate,Medium Sugar Level,Average Price
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,Medium Win Rate,High Sugar Level,Average Price
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,Low Win Rate,Low Sugar Level,Cheaper
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,Medium Win Rate,High Sugar Level,Average Price
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,Medium Win Rate,High Sugar Level,Cheaper
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,Medium Win Rate,Low Sugar Level,Cheaper
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,Medium Win Rate,High Sugar Level,Cheaper
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,Medium Win Rate,High Sugar Level,Average Price
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,Medium Win Rate,Medium Sugar Level,Average Price
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,Medium Win Rate,Medium Sugar Level,Average Price
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,Medium Win Rate,Medium Sugar Level,Average Price
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,Medium Win Rate,Medium Sugar Level,Average Price
Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,Medium Win Rate,Low Sugar Level,Cheaper
Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,Medium Win Rate,Medium Sugar Level,Expensive
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,Medium Win Rate,Medium Sugar Level,Expensive
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,Medium Win Rate,Medium Sugar Level,Expensive
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,Low Win Rate,Low Sugar Level,Average Price
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,Medium Win Rate,Low Sugar Level,Average Price
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,High Win Rate,Low Sugar Level,Average Price
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,Medium Win Rate,Low Sugar Level,Cheaper
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,Medium Win Rate,Low Sugar Level,Cheaper
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,Medium Win Rate,Low Sugar Level,Cheaper
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,High Win Rate,High Sugar Level,Average Price
